,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,GEOID,Sub_geo,geometry
0,1550150035,3283 SHAKERLEY PARK,11/6/20,2020,11,2020-11,320000,2006,2377,134.623475,13097080602,South Douglas,POINT (-84.6463125 33.7113874)
12,1550150037,3287 SHAKERLEY PARK,11/30/20,2020,11,2020-11,325000,2006,2870,113.2404181,13097080602,South Douglas,POINT (-84.6466443 33.7114047)
39,10081820036,8976 CLOVER LN,11/13/20,2020,11,2020-11,95000,1971,1408,67.47159091,13097080602,South Douglas,POINT (-84.658395 33.7369215)
106,9831820009,2373 HUCKLEBERRY LN,11/20/20,2020,11,2020-11,175000,1988,1886,92.78897137,13097080602,South Douglas,POINT (-84.6404938 33.7399344)
135,1320150087,2616 CHESTERBROOKE DR,11/13/20,2020,11,2020-11,231500,1998,1484,155.9973046,13097080602,South Douglas,POINT (-84.6611328 33.7315109)
139,1550150474,3149 FOUNDERS WAY,11/13/20,2020,11,2020-11,224000,2007,1621,138.1863048,13097080602,South Douglas,POINT (-84.6384357 33.7123612)
153,1470150092,3854 HWY 166 - FAIRBURN RD,11/11/20,2020,11,2020-11,26263,1980,800,32.82875,13097080602,South Douglas,POINT (-84.6511616 33.7001217)
157,1550150197,9908 ASHFORD GREEN WAY,11/9/20,2020,11,2020-11,333000,2005,2916,114.1975309,13097080602,South Douglas,POINT (-84.6433755 33.7123045)
182,1340150027,3244 HWY 92 - FAIRBURN RD,11/4/20,2020,11,2020-11,179900,1966,1533,117.3515982,13097080602,South Douglas,POINT (-84.6593757 33.717764)
219,1480150023,3670 LEAH PL,4/28/22,2022,4,2022-4,299900,1978,2136,140.4026217,13097080602,South Douglas,POINT (-84.6531028 33.7055838)
248,1480150095,3470 PALMER LAKE PTE,4/29/22,2022,4,2022-4,387000,2001,1745,221.7765043,13097080602,South Douglas,POINT (-84.6556107 33.7093726)
304,10091820004,3715 MEADOWVIEW DR,4/22/22,2022,4,2022-4,236000,1971,1400,168.5714286,13097080602,South Douglas,POINT (-84.6622978 33.7389945)
316,1550150225,3256 BLACKLEY OLD RD,4/21/22,2022,4,2022-4,505000,2006,3356,150.476758,13097080602,South Douglas,POINT (-84.6441725 33.7137106)
348,1550150311,9944 ASHTON OLD RD,4/18/22,2022,4,2022-4,380000,2008,2030,187.1921182,13097080602,South Douglas,POINT (-84.6400032 33.7133123)
354,1550150212,3264 FOUNDERS WAY,4/15/22,2022,4,2022-4,402000,2004,2272,176.9366197,13097080602,South Douglas,POINT (-84.6423741 33.7115427)
356,10141820002,9022 MEADOW DR,4/15/22,2022,4,2022-4,240000,1972,1456,164.8351648,13097080602,South Douglas,POINT (-84.6568625 33.7359629)
376,9221820010,2422 CHESTNUT LOG LN,4/13/22,2022,4,2022-4,242500,1973,1625,149.2307692,13097080602,South Douglas,POINT (-84.654758 33.7471246)
