,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month
1,01550150035,3283 SHAKERLEY PARK,2020-11-06,320000.0,2006,2377,3283 Shakerley Park Douglas County GA,01550150035-11/6/2020-320000.0,134.62347496844762,2020,2020,11,2020-11
2,03651820047,6740 MARSH AVE,2020-11-13,155000.0,1947,1345,6740 Marsh Ave Douglas County GA,03651820047-11/13/2020-155000.0,115.24163568773234,2020,2020,11,2020-11
3,00790150144,201 HAVEN CIR,2020-11-16,365990.0,2018,2639,201 Haven Cir Douglas County GA,00790150144-11/16/2020-365990.0,138.68510799545282,2020,2020,11,2020-11
4,00850150064,2961 NAIRN CT,2020-11-23,237500.0,2006,2048,2961 Nairn Ct Douglas County GA,00850150064-11/23/2020-237500.0,115.966796875,2020,2020,11,2020-11
5,00840150079,3889 LANDMARK DR,2020-11-30,260000.0,1997,2025,3889 Landmark Dr Douglas County GA,00840150079-11/30/2020-260000.0,128.39506172839506,2020,2020,11,2020-11
7,00870250055,8441 LOUISVILLE DR,2020-11-20,201000.0,1992,1536,8441 Louisville Dr Douglas County GA,00870250055-11/20/2020-201000.0,130.859375,2020,2020,11,2020-11
8,00100150031,5451 S LAKE DR,2020-11-10,219900.0,1975,1530,5451 S Lake Dr Douglas County GA,00100150031-11/10/2020-219900.0,143.72549019607843,2020,2020,11,2020-11
9,00270150133,4970 HORTON PL,2020-11-05,160000.0,1972,1645,4970 Horton Pl Douglas County GA,00270150133-11/5/2020-160000.0,97.26443768996961,2020,2020,11,2020-11
10,00550150055,2814 TIMBER VALLEY DR,2020-11-06,110500.0,1977,1286,2814 Timber Valley Dr Douglas County GA,00550150055-11/6/2020-110500.0,85.9253499222395,2020,2020,11,2020-11
11,02041820031,14 ROBIN RD,2020-11-20,110000.0,1956,966,14 Robin Rd Douglas County GA,02041820031-11/20/2020-110000.0,113.87163561076605,2020,2020,11,2020-11
12,00930250139,4076 BENT OAK CT,2020-11-24,190000.0,1982,1628,4076 Bent Oak Ct Douglas County GA,00930250139-11/24/2020-190000.0,116.70761670761671,2020,2020,11,2020-11
13,03591820021,11131 VETERANS MEMORIAL HWY,2020-11-17,62000.0,1946,1076,11131 Veterans Memorial Hwy Douglas County GA,03591820021-11/17/2020-62000.0,57.62081784386617,2020,2020,11,2020-11
14,01550150037,3287 SHAKERLEY PARK,2020-11-30,325000.0,2006,2870,3287 Shakerley Park Douglas County GA,01550150037-11/30/2020-325000.0,113.2404181184669,2020,2020,11,2020-11
15,07410130010,7842 LAKE CREST WAY,2020-11-20,70000.0,2003,1432,7842 Lake Crest Way Douglas County GA,07410130010-11/20/2020-70000.0,48.88268156424581,2020,2020,11,2020-11
16,00040150018,5604 YORKSHIRE CT,2020-11-30,425000.0,2001,2951,5604 Yorkshire Ct Douglas County GA,00040150018-11/30/2020-425000.0,144.01897661809556,2020,2020,11,2020-11
17,00850150045,2986 DUNGENESS DR,2020-11-12,238000.0,2006,1605,2986 Dungeness Dr Douglas County GA,00850150045-11/12/2020-238000.0,148.2866043613707,2020,2020,11,2020-11
18,00770150231,5271 CLINGMAN CT,2020-11-23,351900.0,2016,3369,5271 Clingman Ct Douglas County GA,00770150231-11/23/2020-351900.0,104.45235975066785,2020,2020,11,2020-11
19,00760250033,9067 KNOTTY PINE TRL,2020-11-03,334900.0,2000,2458,9067 Knotty Pine Trl Douglas County GA,00760250033-11/3/2020-334900.0,136.24898291293735,2020,2020,11,2020-11
20,00930250020,4166 WESTVIEW ST,2020-11-04,170000.0,1972,1367,4166 Westview St Douglas County GA,00930250020-11/4/2020-170000.0,124.35991221653255,2020,2020,11,2020-11
21,01760150199,1706 ROCHESTER ST,2020-11-16,335000.0,2019,2240,1706 Rochester St Douglas County GA,01760150199-11/16/2020-335000.0,149.55357142857142,2020,2020,11,2020-11
22,09111820017,2060 HILLCREST DR,2020-11-30,138000.0,1964,1309,2060 Hillcrest Dr Douglas County GA,09111820017-11/30/2020-138000.0,105.42398777692895,2020,2020,11,2020-11
23,01760150099,9150 DOVER ST,2020-11-30,314000.0,2017,2587,9150 Dover St Douglas County GA,01760150099-11/30/2020-314000.0,121.37611132586007,2020,2020,11,2020-11
24,00820350041,7261 BLUEWATER LN,2020-11-12,464300.0,2019,3102,7261 Bluewater Ln Douglas County GA,00820350041-11/12/2020-464300.0,149.6776273372018,2020,2020,11,2020-11
25,01010250022,3881 NATIONS DR,2020-11-23,129000.0,1976,1309,3881 Nations Dr Douglas County GA,01010250022-11/23/2020-129000.0,98.5485103132162,2020,2020,11,2020-11
